WineryName,MemberID,OrderID,ProductID,BottleCount,CostofGoodsSold,DateAdded,DateModified,Description,Discount,KitSKU,Name,OriginalPrice,Price,PriceUnits,Quantity,Shipper,ShippingType,ShippingCode,ProductSKU,TaxAmount,TaxRate,Weight,WineAppellation,WineBottleSize,WineBrand,WineBrandKey,WineType,WineVarietal
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,F72E88C3-0405-4C6E-8C64-587B8FB39143,4D38FFA5-BD5A-444E-9727-E96BB4F27880,0,4.65,42:10.9,42:11.1,2013 Barbera,0,,2013 Barbera,25.2,25.2,0,1,,,,13-BARB,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Barbera
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,F72E88C3-0405-4C6E-8C64-587B8FB39143,3C668FF2-AA95-4C66-BFBD-AC86DF0E5B9B,0,4.65,42:10.9,42:11.1,2013 Late Harvest Riesling,0,,2013 Late Harvest Riesling,13.5,13.5,0,3,,,,13-LHRS,0,0,0,Yakima Valley,Bottle,Airfield,AF,Dessert,Late Harvest
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,B7DDE251-1701-415C-A33C-54BE3EF5E847,4D38FFA5-BD5A-444E-9727-E96BB4F27880,0,4.65,42:11.5,42:11.6,2013 Barbera,0,,2013 Barbera,25.2,25.2,0,-1,,,,13-BARB,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Barbera
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,B7DDE251-1701-415C-A33C-54BE3EF5E847,E48E840F-5D3F-434C-958E-9DEF9F5A39EA,0,4.65,42:11.5,42:11.6,2013 Bombshell,0,,2013 Bombshell,16.2,16.2,0,-1,,,,13-BSHL,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Red Blend - Bombshell
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,B7DDE251-1701-415C-A33C-54BE3EF5E847,F7BA89FE-2DBE-4A46-A25A-E80A5F9DBA5E,0,4.65,42:11.5,42:11.6,2013 Hellcat,0,,2013 Hellcat,22.5,22.5,0,-1,,,,13-HLCT,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Spanish Style Blend - Hellcat
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,B7DDE251-1701-415C-A33C-54BE3EF5E847,3C668FF2-AA95-4C66-BFBD-AC86DF0E5B9B,0,4.65,42:11.5,42:11.6,2013 Late Harvest Riesling,0,,2013 Late Harvest Riesling,13.5,13.5,0,-3,,,,13-LHRS,0,0,0,Yakima Valley,Bottle,Airfield,AF,Dessert,Late Harvest
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,816A6193-1556-424D-8500-A8BA3CB4B3E3,4D38FFA5-BD5A-444E-9727-E96BB4F27880,0,4.65,42:11.9,42:12.0,2013 Barbera,0,,2013 Barbera,25.2,25.2,0,1,,,,13-BARB,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Barbera
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,816A6193-1556-424D-8500-A8BA3CB4B3E3,E48E840F-5D3F-434C-958E-9DEF9F5A39EA,0,4.65,42:11.9,42:12.0,2013 Bombshell,0,,2013 Bombshell,16.2,16.2,0,1,,,,13-BSHL,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Red Blend - Bombshell
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,816A6193-1556-424D-8500-A8BA3CB4B3E3,F7BA89FE-2DBE-4A46-A25A-E80A5F9DBA5E,0,4.65,42:11.9,42:12.0,2013 Hellcat,0,,2013 Hellcat,22.5,22.5,0,1,,,,13-HLCT,0,0,0,Yakima Valley,Bottle,Airfield,AF,Red Wine,Spanish Style Blend - Hellcat
Airfield Estates,DE7EB5C9-45C2-4F4F-9538-B646A3AB0005,816A6193-1556-424D-8500-A8BA3CB4B3E3,3C668FF2-AA95-4C66-BFBD-AC86DF0E5B9B,0,4.65,42:11.9,42:12.0,2013 Late Harvest Riesling,0,,2013 Late Harvest Riesling,13.5,13.5,0,3,,,,13-LHRS,0,0,0,Yakima Valley,Bottle,Airfield,AF,Dessert,Late Harvest
